00,Yumiton
0164,Evilmass of Adamance Entrance
39,Kacchindonga
9D,???
0101,???
0165,Light (Final Cutscene)
3A,Accursed Dodonga
9E,???
0102,???
0166,Your Light (Final Cutscene)
3B,Zaknel
9F,???
0103,Tall Rocks (Patapon 2/3)
0167,Flash (Cutscene)
3C,Dokaknel
A0,Wall (Patapon 2/3)
0104,Small Rocks (Patapon 2/3)
0168,Dark Hero Glow (Ending Choice)
3D,Gaeen
A1,Tall Wall (Patapon 2/3)
0105,???
0169,Death (Ending Choice)
3E,Dogaeen
A2,Green Grass (Fields)
0106,???
016A,Sacrifice (Ending Choice)
3F,Ciokina
A3,Light Green Grass (Fields)
0107,???
016B,Shooting Star (Ending Choice)
40,Cioking
A4,Red Grass (Volcanoes)
0108,???
016C,Giant Fire (Labyrinth of Restraint)
41,Shookle
A5,Orange Grass (Volcanoes)
0109,Lever (Activates when touched)
016D,What is this thing
42,Shooshookle
A6,Yellow Grass (Hot Zones)
010A,Pressure Pad (Activates when touched)
016E,Ormen Karmen
43,Goruru
A7,Light Green Grass (Hot Zones)
010B,Breakable Block (Breaks when touched)
016F,Kharma
44,Garuru
A8,Cannon
010C,Standing Hatapon (Cutscene)
0170,Sokshi Gate
45,Mochichichi
A9,Chainsaw
010D,Hatapon's Flag
0171,Cannon (Race)
46,Fenicchi
AA,Snoworb Cannon
010E,Archfiend Shrine (Estate or Earnestness)
0172,Snoworb Cannon (Race)
47,Manboth
AB,what the fuck is this
010F,Archfiend Shrine (Castle of Justice)
0173,Iron Wall (Race)
48,Manboroth
AC,Breaking Structure
0110,Archfiend Shrine (Cave of Valor)
0174,(seems like nothing else after this)
49,Centura
AD,Breaking Structure (Glitched)
0111,Archfiend Shrine (Tower of Purity)
0175
4A,Darantula
AE,Breaking Structure (Glitched)
0112,Archfiend Shrine (Evilmass of Adamance)
0176
4B,Kanodias
AF,???
0113,Archfiend Shrine (Tomb of Tolerance)
0177
4C,Ganodias
B0,Breaking Structure
0114,Archfiend Shrine (Labyrinth of Restraint)
0178
4D,Dettankarmen
B1,Breaking Structure (Glitched)
0115,Guardira Shield
0179
4E,Zuttankarmen
B2,Breaking Structure (Glitched)
0116,Shining Light (Cutscene)
017A
4F,Cyclops (Red)
B3,???
0117,Bonedeth Hut (50 Giants)
017B
50,Cyclops (Blue)
B4,Chest (Patapon 2/Training Grounds)
0118,Bonedeth Hut (Grinding Missions)
017C
51,Dragon (Fire)
B5,Wooden Barricade (Patapon 2)
0119,GIMC080.BND (Removed)
017D
52,Dragon (Ice)
B6,Door (Dungeon)
011A,Bonedeth Stagecoach
017E
53,Dragon (Poison)
B7,Key Door (Dungeon)
011B,Guillotines (Needs a timer)
017F
54,Fenrir
B8,Results Screen Hero Stand
011C,Superweapon Org
0180
55,Thunder Lion
B9,Wall (Patapon 3)
011D,Superweapon Dahl
0181
56,Treant
BA,Grass (Field of Giants)
011E,Ziggerzank (Patapon 3)
0182
57,Deth Treant
BB,Blue Grass (Field of Giants)
011F,Karmen Hut
0183
58,Gargoyle
BC,Purple Grass (Volcanoes)
0120,Karmen Fortress
0184
59,Enchanted Gargoyle
BD,Pink Grass (Volcanoes)
0121,Karmen Tower (Stone)
0185
5A,Death
BE,Crying Silver Hoshipon (Cutscene)
0122,Karmen Tower (Iron)
0186
5B,Enchanted Death
BF,Box Opening (Cutscene)
0123,Karmen Bunker (Pillbox)
0187
5C,Dragon Puppy
C0,Archfiend
0124,Karmen Iron Wall
0188
5D,Hyumitto
C1,Archfiend Glow
0125,Blizzard Tower/Ice Castle (P2/P3)
0189
5E,Salamander (Fire)
C2,Archfiend (Glitched?)
0126,Patapon Caravan (Patapon 1)
018A
5F,Salamander (Ice)
C3,Archfiend Glow (Glitched?)
0127,Zugagang (Patapon 2)
018B
60,Balrog
C4,Archfiend
0128,Mantango (Giant Mushroom...)
018C
61,Balrag
C5,Archfiend Glow
0129,Catapult (Facing towards you)
018D
62,Golem
C6,Archfiend (Glitched?)
012A,Zigoton Caravan (Patapon 1)
018E
63,Golem (Ice)
C7,Archfiend Glow (Glitched?)
012B,Zigoton Windmill (Patapon 1)
018F
599
