0,Dekapon Helmet (Stage 1)
C3,Firewall Staff
127,Ruemelter
5D,Ice Lance
C4,Lightning Staff
128,Silver Murzephone
5E,Stagger Lance
C5,Thunderstorm Staff
129,Chariot of Light
5F,Romulus's Halberd
C6,Flamesea Staff
12A,Deedsarus Darktank
60,Incensar
C7,Holymist Staff
12B,Gargan War Machine
61,Gugnir
C8,Darkvenom Staff
12C,Yumiyacha Mask
62,Battachin
C9,Jewelsword Staff
12D,Taterazay Mask
63,Murakumon
CA,Phoenix Ultimate Staff
12E,Yarida Mask
64,Hotenpon's Halberd
CB,Scepter
12F,Kibadda Mask
