0,(no translation needed) 
19f,Wing Boots 
1a0,Drum Shoes 
1a1,Mighty Pata Shoes <N0> 
1a2,Fire Shoes 
1a3,Thunder Shoes 
1a4,Snow Shoes 
1a5,Flying Shoes 
1a6,Sun Shoes 
1a7,Dragon Shoes 
1a8,Heaven Shoes 
1a9,Magic Shoes Lilith 
1aa,Friendship Shoes 
1ab,　 
1ac,　 
1ad,　 
1ae,Wooden Helm 
1af,Iron Helm 
1b0,Steel Helm 
1b1,Wind Helm 
1b2,Strength Helm 
1b3,Ancient Helm 
1b4,Giant Helm "Turtle" 
1b5,Divine Helm<N0> 
1b6,Bunny Head 
1b7,Scorpiton Helm 
1b8,Spiderton Helm 
1b9,Beetleton Helm 
1ba,Gong's Helm 
1bb,Fire Helm 
1bc,Thunder Helm 
1bd,Snow Helm 
1be,Flying Helm 
1bf,Sun Helm 
1c0,Dragon Helm 
1c1,Wing Helm 
1c2,Cook's Hat 
1c3,Jeweled Tiara 
1c4,Samurai Head 
1c5,Heaven Helm 
1c6,Magic Helm Hades 
1c7,Friendship Helm 
1c8,Great God Helmet 
1c9,Lordly Hairpiece 
1ca,　 
1cb,　 
1cc,(no translation needed) 
1cd,(no translation needed) 
1ce,(no translation needed) 
1cf,(no translation needed) 
1d0,(no translation needed) 
1d1,(no translation needed) 
1d2,(no translation needed) 
1d3,(no translation needed) 
1d4,(no translation needed) 
1d5,(no translation needed) 
1d6,(no translation needed) 
1d7,(no translation needed) 
1d8,(no translation needed) 
1d9,(no translation needed) 
1da,(no translation needed) 
1db,(no translation needed) 
1dc,(no translation needed) 
1dd,(no translation needed) 
1de,(no translation needed) 
1df,(no translation needed) 
1e0,(no translation needed) 
1e1,(no translation needed) 
1e2,(no translation needed) 
1e3,(no translation needed) 
1e4,(no translation needed) 
1e5,(no translation needed) 
1e6,(no translation needed) 
1e7,(no translation needed) 
1e8,(no translation needed) 
1e9,(no translation needed) 
1ea,(no translation needed) 
1eb,(no translation needed) 
1ec,(no translation needed) 
1ed,(no translation needed) 
1ee,(no translation needed) 
1ef,(no translation needed) 
1f0,(no translation needed) 
1f1,(no translation needed) 
1f2,(no translation needed) 
1f3,(no translation needed) 
1f4,(no translation needed) 
1f5,(no translation needed) 
1f6,(no translation needed) 
1f7,(no translation needed) 
1f8,(no translation needed) 
1f9,(no translation needed) 
1fa,(no translation needed) 
1fb,(no translation needed) 
1fc,(no translation needed) 
1fd,(no translation needed) 
1fe,(no translation needed) 
1ff,(no translation needed) 
200,(no translation needed) 
201,(no translation needed) 
202,(no translation needed) 
203,(no translation needed) 
204,(no translation needed) 
205,(no translation needed) 
206,(no translation needed) 
207,(no translation needed) 
208,(no translation needed) 
209,(no translation needed) 
20a,(no translation needed) 
20b,(no translation needed) 
20c,(no translation needed) 
20d,(no translation needed) 
20e,(no translation needed) 
20f,(no translation needed) 
210,(no translation needed) 
211,(no translation needed) 
212,(no translation needed) 
213,(no translation needed) 
214,(no translation needed) 
215,(no translation needed) 
216,(no translation needed) 
217,(no translation needed) 
218,(no translation needed) 
219,(no translation needed) 
21a,(no translation needed) 
21b,(no translation needed) 
21c,(no translation needed) 
21d,(no translation needed) 
21e,(no translation needed) 
21f,(no translation needed) 
220,(no translation needed) 
221,(no translation needed) 
222,(no translation needed) 
223,(no translation needed) 
224,(no translation needed) 
225,(no translation needed) 
226,(no translation needed) 
227,(no translation needed) 
228,(no translation needed) 
229,(no translation needed) 
22a,(no translation needed) 
22b,(no translation needed) 
22c,(no translation needed) 
22d,(no translation needed) 
22e,(no translation needed) 
22f,(no translation needed) 
230,(no translation needed) 
231,(no translation needed) 
232,(no translation needed) 
233,(no translation needed) 
234,(no translation needed) 
235,Sutata 
236,Suttata 
237,Sutatattan 
238,Sutatanooo 
239,Gashishi 
23a,Gasshin 
23b,Zugashi 
23c,Gasshingaa 
23d,Gochichi 
23e,Gocchin 
23f,Cocchinko 
240,Gochigachidesu 
241,Shuba 
242,Shubaba 
243,Shubabiya 
244,Shubabassa 
245,Bishiri 
246,Bisharin 
247,Donpisha 
248,Dopishana 
249,Gurara 
24a,Guraran 
24b,Guranguran 
24c,Gurarandaa 
24d,Ototo 
24e,Ottoto 
24f,Ottototo 
250,Ototodokko 
251,Merara 
252,Meracchi 
253,Meraachichi 
254,Meraachiize 
255,Kachichi 
256,Kachikochi 
257,Kachinkon 
258,Kacchikochin 
259,Nekoro 
25a,Nenkoro 
25b,Nenkorori 
25c,Nekororinyo 
25d,Kakin 
25e,Kakikoki 
25f,Kakkinko 
260,Kakkokingu 
261,Hirara 
262,Hirarin 
263,Hiraratto 
264,Hirarinmaru 
265,Biyoyo 
266,Biyoyon 
267,Byororon 
268,Babyobyon 
269,Doshishi 
26a,Dosshiri 
26b,Zundoshiri 
26c,Doshirittan 
26d,Chitoto 
26e,Chitton 
26f,Chittoriyo 
270,Chittoriine 
271,Meranya 
272,Nameranya 
273,Dameranya 
274,Dameranyan 
275,Popoka 
276,Pokapoka 
277,Popopokka 
278,Poppkaana 
279,Nonburu 
27a,Nonbururu 
27b,Nonnooburu 
27c,Nonburussa 
27d,Babiri 
27e,Babirira 
27f,Babiriino 
280,Babinonnon 
281,Jirin 
282,Jiririn 
283,Jinjirin 
284,Jiririntan 
285,Zubaba 
286,Zubizuba 
287,Zunzunbiba 
288,Zubizubabaya 
289,Kachiko 
28a,Kachikochi 
28b,Kacchinko 
28c,Kachinkocchi 
28d,Myuu 
28e,Myuuto 
28f,Myuutan 
290,Myuutaron 
291,Dogyuun 
292,Dongyugyu 
293,Dodongyuu 
294,Zuddongyu 
295,Subasara 
296,Rabasara 
297,Raparassa 
298,Rapasaraana 
299,Sutata 
29a,Suttata 
29b,Sutatattan 
29c,Sutatanooo 
29d,Gashishi 
29e,Gasshin 
29f,Zugashi 
2a0,Gasshingaa 
2a1,Gochichi 
2a2,Gocchin 
2a3,Cocchinko 
2a4,Gochigachidesu 
2a5,Shuba 
2a6,Shubaba 
2a7,Shubabiya 
2a8,Shubabassa 
2a9,Bishiri 
2aa,Bisharin 
2ab,Donpisha 
2ac,Dopishana 
2ad,Gurara 
2ae,Guraran 
2af,Guranguran 
2b0,Gurarandaa 
2b1,Ototo 
2b2,Ottoto 
2b3,Ottototo 
2b4,Ototodokko 
2b5,Merara 
2b6,Meracchi 
2b7,Meraachichi 
2b8,Meraachiize 
2b9,Kachichi 
2ba,Kachikochi 
2bb,Kachinkon 
2bc,Kacchikochin 
2bd,Nekoro 
2be,Nenkoro 
2bf,Nenkorori 
2c0,Nekororinyo 
2c1,Kakin 
2c2,Kakikoki 
2c3,Kakkinko 
2c4,Kakkokingu 
2c5,Hirara 
2c6,Hirarin 
2c7,Hiraratto 
2c8,Hirarinmaru 
2c9,Biyoyo 
2ca,Biyoyon 
2cb,Byororon 
2cc,Babyobyon 
2cd,Doshishi 
2ce,Dosshiri 
2cf,Zundoshiri 
2d0,Doshirittan 
2d1,Chitoto 
2d2,Chitton 
2d3,Chittoriyo 
2d4,Chittoriine 
2d5,Meranya 
2d6,Nameranya 
2d7,Dameranya 
2d8,Dameranyan 
2d9,Popoka 
2da,Pokapoka 
2db,Popopokka 
2dc,Poppkaana 
2dd,Nonburu 
2de,Nonbururu 
2df,Nonnooburu 
2e0,Nonburussa 
2e1,Babiri 
2e2,Babirira 
2e3,Babiriino 
2e4,Babinonnon 
2e5,Jirin 
2e6,Jiririn 
2e7,Jinjirin 
2e8,Jiririntan 
2e9,Zubaba 
2ea,Zubizuba 
2eb,Zunzunbiba 
2ec,Zubizubabaya 
2ed,Kachiko 
2ee,Kachikochi 
2ef,Kacchinko 
2f0,Kachinkocchi 
2f1,Myuu 
2f2,Myuuto 
2f3,Myuutan 
2f4,Myuutaron 
2f5,Dogyuun 
2f6,Dongyugyu 
2f7,Dodongyuu 
2f8,Zuddongyu 
2f9,Subasara 
2fa,Rabasara 
2fb,Raparassa 
2fc,Rapasaraana 
2fd,Head of Dodonga 
2fe,Head of Majidonga 
2ff,Head of Zaknel 
300,Head of Dokaknel 
301,Head of Gaeen 
302,Head of Dogaeen 
303,Cioking's Pincer 
304,Ciokinna's Pincer 
305,Head of Shookle 
306,Head of Shooshookle 
307,Head of Gorl 
308,Head of Mocchichi 
309,Head of Momoti 
30a,Head of Motsitsi 
30b,Kacheek 
30c,Picheek 
30d,Parcheek 
30e,Poocheek 
30f,Gancheek 
310,Kacheek (sand) 
311,Kacheek (swamp) 
312,Kacheek (stone) 
313,Garuru Head 
314,Mochicchichi Head 
315,Fenicchi Head 
316,Manboroth Fang 
317,Manboroth Fang 
318,Centura Head 
319,Darantula Head 
31a,Kanogias Cannon 
31b,Ganodias Cannon 
31c,Dettankarmen Head 
31d,Zuttankarmen Head 
31e,Babato 
31f,Pipat 
320,Dobatto 
321,Rappapa 
322,Pekkora 
323,Pekkorako 
324,Uji 
325,Uji 
326,Kachindonga Head 
327,Karcheek (Snow) 
328,Normal 
329,Normal 
32a,Normal 
32b,Pyopyo 
32c,Pyokora 
32d,Pyokoran 
32e,Nyontama 
32f,Gekoroth 
330,Gekoronpa 
331,Mofu 
332,Mofuuru 
333,Mofurumo 
334,Chiku 
335,Chikkuri 
336,Chikurinchi 
337,Mogyu 
338,Mogyuun 
339,Mogyugyu 
33a,Sabara 
33b,Baasara 
33c,Babassa 
33d,Buhyokko 
33e,Buhyonku 
33f,Puuhyonku 
340,Fumya 
341,Fumyaaru 
342,Funmyaga 
343,Wanda 
344,Wandaba 
345,Wandabata 
346,Menyokki 
347,Kisuk 
348,Moriussoo 
349,Chigyobi 
34a,Gyopicchi 
34b,Gyogyoppa 
34c,Uhoho 
34d,Uuhoho 
34e,Uhokkya 
34f,Mashu 
350,Mashuro 
351,Mashuriro 
352,Koppen 
353,Suppen 
354,Supengu 
355,Kanokko 
356,Kanokyon 
357,Kanodia 
358,Gyaba 
359,Gyabaan 
35a,Wagyanba 
35b,Dodonga Egg Lv.<N11> 
35c,Majidonga Egg Lv.<N12> 
35d,Zaknel Egg Lv.<N13> 
35e,Dokaknel Egg Lv.<N14> 
35f,Gaeen Egg Lv.<N15> 
360,Dogaeen Egg Lv.<N16> 
361,Ciokina Egg Lv.<N17> 
362,Cioking Egg Lv.<N18> 
363,Shookle Egg Lv.<N19> 
364,Shooshookle Egg Lv.<N20> 
365,Goruru Egg Lv.<N21> 
366,Garuru Egg Lv.<N22> 
367,Mochicchichi Egg Lv.<N23> 
368,Fenicchi Egg Lv.<N24> 
369,Manboth Egg Lv.<N25> 
36a,Manboroth Egg Lv.<N26> 
36b,Centura Egg Lv.<N27> 
36c,Darantula Egg Lv.<N28> 
36d,Kanogias Egg Lv.<N29> 
36e,Ganodias Egg Lv.<N30> 
36f,Dettankarmen Egg Lv.<N31> 
370,Zuttankarmen Egg Lv.<N32> 
371,Kacchindonga Egg Lv.<N33> 
372,Karmen Egg Lv. <N34> 
373,Sword Summit Egg Lv. <N35> 
374,Pharamatara Egg Lv.<N36> 
375,Ice Fortress Egg Lv.<N37> 
376,Oasis Battle Egg Lv. <N38> 
377,Karmen Gate Egg Lv. <N39> 
378,Underworld Egg Lv. <N40> 
379,　 
37a,　 
37b,　 
37c,　 
37d,　 
37e,　 
37f,(Yaripon) Okishi 
380,(Tatepon) Kabon 
381,(Yumipon) Lutecci 
382,(Kibapon) Silba 
383,(Dekapon) Buruch 
384,(Megapon) Natolie 
385,(Yaripon) Moribu 
386,(Tatepon) Kyuro 
387,(Yumipon) Hassh 
388,(Kibapon) Ladodon 
389,(Dekapon) Germa 
38a,(Megapon) Rolent 
38b,(Toripon) Neoja 
38c,(Robopon) Seren 
38d,(Mahopon) Rantan 
38e,(Yaripon) Pondere 
38f,(Tatepon) Bakun 
390,(Yumipon) Markyu 
391,(Kibapon) Magmag 
392,(Dekapon) Goldon 
393,(Megapon) Serime 
394,(Toripon) Sibou 
395,(Robopon) Baryun 
396,(Mahopon) Prati 
397,(Toripon) Artom 
398,Evolve to Yaripon 
399,Evolve to Tatepon 
39a,Evolve to Yumipon 
39b,Evolve to Kibapon 
39c,Evolve to Dekapon 
39d,Evolve to Megapon 
39e,Evolve to Toripon 
39f,Evolve to Robopon 
3a0,Evolve to Mahopon 
3a1,Blank Map 
3a2,Bent Compass 
3a3,Dusty Crystal 
3a4,Broken Sign 
3a5,Black Star 
3a6,Dark Palace Model 
